location,population,total_death_count,highest_death_rate
Brazil,212559409,403781,0.1900
Mexico,128932753,216907,0.1700
India,1380004385,211853,0.0200
Italy,60461828,120807,0.2000
Russia,145934460,108290,0.0700
France,68147687,104675,0.1500
Germany,83783945,83097,0.1000
Colombia,50882884,73720,0.1400
Iran,83992953,71758,0.0900
Poland,37846605,67502,0.1800
Argentina,45195777,63865,0.1400
Peru,32971846,61477,0.1900
Indonesia,273523621,45521,0.0200
Czechia,10708982,29267,0.2700
Romania,19237682,28109,0.1500
Hungary,9660350,27540,0.2900
Chile,19116209,26353,0.1400
Belgium,11589616,24230,0.2100
Canada,37742157,24220,0.0600
Ecuador,17643060,18631,0.1100
Pakistan,220892331,17957,0.0100
Netherlands,17134873,17398,0.1000
Philippines,109581085,17234,0.0200
Portugal,10196707,16974,0.1700
Bulgaria,6948445,16399,0.2400
Iraq,40222503,15465,0.0400
Egypt,102334403,13339,0.0100
Bolivia,11673029,12951,0.1100
Slovakia,5459643,11684,0.2100
Bangladesh,164689383,11450,0.0100
Greece,10423056,10381,0.1000
Austria,9006400,10205,0.1100
Japan,126476458,10199,0.0100
Morocco,36910558,9023,0.0200
Jordan,10203140,8836,0.0900
"Bosnia and Herzegovina",3280815,8551,0.2600
Guatemala,17915567,7524,0.0400
Lebanon,6825442,7278,0.1100
Croatia,4105268,7081,0.1700
"Saudi Arabia",34813867,6957,0.0200
Paraguay,7132530,6385,0.0900
Israel,8655541,6363,0.0700
Serbia,6804596,6362,0.0900
Panama,4314768,6232,0.1400
Moldova,4033963,5812,0.1400
Honduras,9904608,5281,0.0500
Ireland,4937796,4903,0.1000
"North Macedonia",2083380,4855,0.2300
China,1439323774,4845,0.0000
Azerbaijan,10139175,4517,0.0400
Slovenia,2078932,4250,0.2000
Georgia,3989175,4110,0.1000
Armenia,2963234,4108,0.1400
Lithuania,2722291,3923,0.1400
Ethiopia,114963583,3688,0.0000
"Dominican Republic",10847904,3480,0.0300
Kazakhstan,18776707,3334,0.0200
Nepal,29136808,3279,0.0100
Algeria,43851043,3253,0.0100
Palestine,5101416,3249,0.0600
"Costa Rica",5094114,3231,0.0600
Myanmar,54409794,3209,0.0100
Libya,6871287,3029,0.0400
Kenya,53771300,2724,0.0100
Afghanistan,38928341,2625,0.0100
Belarus,9449321,2542,0.0300
Denmark,5792203,2484,0.0400
Albania,2877800,2394,0.0800
Kosovo,1932774,2134,0.1100
Latvia,1886202,2131,0.1100
"El Salvador",6486201,2124,0.0300
Nigeria,206139587,2063,0.0000
Oman,5106622,2010,0.0400
Kyrgyzstan,6524191,1604,0.0200
Kuwait,4270563,1563,0.0400
Malaysia,32365998,1506,0.0000
Montenegro,628062,1495,0.2400
Estonia,1326539,1161,0.0900
Malawi,19129955,1148,0.0100
Cameroon,26545864,1107,0.0000
Senegal,16743930,1107,0.0100
Finland,5540718,914,0.0200
Australia,25499881,910,0.0000
Mozambique,31255435,814,0.0000
Luxembourg,625976,796,0.1300
Ghana,31072945,779,0.0000
Jamaica,2961161,778,0.0300
"Democratic Republic of Congo",89561404,766,0.0000
Norway,5421242,756,0.0100
Botswana,2351625,712,0.0300
Eswatini,1160164,671,0.0600
Bahrain,1701583,646,0.0400
Cuba,11326616,644,0.0100
Madagascar,27691019,643,0.0000
Namibia,2540916,642,0.0300
Angola,32866268,596,0.0000
Mali,20250834,484,0.0000
Qatar,2881060,458,0.0200
Mauritania,4649660,455,0.0100
Malta,441539,413,0.0900
Rwanda,12952209,335,0.0000
Belize,397621,323,0.0800
Lesotho,2142252,316,0.0100
Cyprus,875899,308,0.0400
Guyana,786559,296,0.0400
"Cote d'Ivoire",26378275,286,0.0000
Haiti,11402533,254,0.0000
"Cape Verde",555988,217,0.0400
Bahamas,393248,199,0.0500
Niger,24206636,191,0.0000
Nicaragua,6624554,182,0.0000
Gambia,2416664,174,0.0100
Chad,16425859,170,0.0000
"Burkina Faso",20903278,157,0.0000
Comoros,869595,146,0.0200
Congo,5518092,144,0.0000
Guinea,13132792,144,0.0000
Djibouti,988002,143,0.0100
Gabon,2225728,139,0.0100
Andorra,77265,125,0.1600
Mongolia,3278292,115,0.0000
"Equatorial Guinea",1402985,112,0.0100
"Papua New Guinea",8947027,107,0.0000
Benin,12123198,99,0.0000
Cambodia,16718971,93,0.0000
"San Marino",33938,90,0.2700
"Central African Republic",4829764,88,0.0000
Liberia,5057677,85,0.0000
"Sierra Leone",7976985,79,0.0000
"Saint Lucia",183629,74,0.0400
Maldives,540542,73,0.0100
Guinea-Bissau,1967998,67,0.0000
Liechtenstein,38137,57,0.1500
Barbados,287371,44,0.0200
"Sao Tome and Principe",219161,35,0.0200
"Antigua and Barbuda",97928,32,0.0300
Monaco,39244,32,0.0800
Singapore,5850343,30,0.0000
Iceland,341250,29,0.0100
Seychelles,98340,28,0.0300
"New Zealand",4822233,26,0.0000
Mauritius,1271767,17,0.0000
"Saint Vincent and the Grenadines",110947,11,0.0100
Eritrea,3546427,10,0.0000
Burundi,11890781,6,0.0000
Brunei,437483,3,0.0000
Fiji,896444,2,0.0000
Bhutan,771612,1,0.0000
Grenada,112519,1,0.0000
Anguilla,15002,0,0.0000
Aruba,106766,0,0.0000
Bermuda,62273,0,0.0000
"Cayman Islands",65720,0,0.0000
Curacao,164100,0,0.0000
Dominica,71991,0,0.0000
"Faeroe Islands",48865,0,0.0000
"Falkland Islands",3483,0,0.0000
Gibraltar,33691,0,0.0000
Greenland,56772,0,0.0000
Guernsey,67052,0,0.0000
"Hong Kong",7496988,0,0.0000
"Isle of Man",85032,0,0.0000
Jersey,101073,0,0.0000
Laos,7275556,0,0.0000
Macao,649342,0,0.0000
"Marshall Islands",59194,0,0.0000
"Micronesia (country)",115021,0,0.0000
Montserrat,4999,0,0.0000
Nauru,10834,0,0.0000
"Northern Cyprus",0,0,NULL
"Saint Helena",6071,0,0.0000
"Saint Kitts and Nevis",53192,0,0.0000
Samoa,198410,0,0.0000
"Solomon Islands",686878,0,0.0000
